-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;   54 ;   53 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ; 1002.73 ;
   2 ;   54 ;   53 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ; 1002.73 ;
   2 ;   54 ;   53 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  962.62 ;
   2 ;   54 ;   53 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  981.87 ;
   2 ;   55 ;   54 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  5226.70 ;   550.00 ; 31662.69 ;     0.00 ;    22.18 ;     0.00 ;     0.00 ;   11385.79 ;  3500.00 ;  6629.00 ;     0.00 ;  55127.7 ;      52743.55 ;    25.81 ;      75892.80 ;    37.14 ;  461.69 ;
   2 ;   55 ;   54 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  5228.70 ;   550.00 ; 28884.24 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   10103.66 ;  3500.00 ;  6150.97 ;     0.00 ;  55127.7 ;      52743.55 ;    25.81 ;      75892.80 ;    37.14 ;  456.88 ;
   2 ;   55 ;   54 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  5112.18 ;   550.00 ; 21624.19 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9138.23 ;  1900.00 ;  4520.20 ;     0.00 ;  55127.7 ;      52743.55 ;    25.81 ;      75892.80 ;    37.14 ;  434.07 ;
   2 ;   55 ;   54 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  5167.66 ;   550.00 ; 25714.97 ;     0.00 ;    95.20 ;     0.00 ;     0.00 ;    9881.53 ;  2667.82 ;  5407.18 ;     0.00 ;  55127.7 ;      52743.55 ;    25.81 ;      75892.80 ;    37.14 ;  446.07 ;
   2 ;   55 ;   54 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1264.30 ;     0.00 ;  9902.55 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2695.15 ;    -     ;    -     ;     0.00 ;   5365.0 ;       5777.39 ;    29.04 ;       5770.89 ;    29.00 ;  461.69 ;
   2 ;   55 ;   54 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  7271.84 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3339.26 ;    -     ;    -     ;     0.00 ;   5365.0 ;       5777.39 ;    29.04 ;       5770.89 ;    29.00 ;  456.88 ;
   2 ;   55 ;   54 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  3457.76 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4621.64 ;    -     ;    -     ;     0.00 ;   5365.0 ;       5777.39 ;    29.04 ;       5770.89 ;    29.00 ;  434.07 ;
   2 ;   55 ;   54 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1285.69 ;     0.00 ;  5862.60 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3865.58 ;    -     ;    -     ;     0.00 ;   5365.0 ;       5777.39 ;    29.04 ;       5770.89 ;    29.00 ;  446.07 ;
   2 ;   55 ;   54 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2240.10 ;     0.00 ;  3697.14 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2251.76 ;    -     ;    -     ;     0.00 ;   5611.5 ;      20818.72 ;    40.34 ;      23727.47 ;    45.98 ;  461.69 ;
   2 ;   55 ;   54 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2488.19 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2779.71 ;    -     ;    -     ;     0.00 ;   5611.5 ;      20818.72 ;    40.34 ;      23727.47 ;    45.98 ;  456.88 ;
   2 ;   55 ;   54 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2240.10 ;     0.00 ;  1876.54 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1938.36 ;    -     ;    -     ;     0.00 ;   5611.5 ;      20818.72 ;    40.34 ;      23727.47 ;    45.98 ;  434.07 ;
   2 ;   55 ;   54 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2434.09 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2226.81 ;    -     ;    -     ;     0.00 ;   5611.5 ;      20818.72 ;    40.34 ;      23727.47 ;    45.98 ;  446.07 ;
   2 ;   55 ;   54 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  1829.69 ;     0.00 ; 16061.31 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   9514.8 ;       3215.86 ;    21.83 ;       6149.08 ;    41.74 ;  137.78 ;
   2 ;   55 ;   54 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  1822.00 ;     0.00 ; 15978.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   9514.8 ;       3215.86 ;    21.83 ;       6149.08 ;    41.74 ;  117.31 ;
   2 ;   55 ;   54 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  1430.44 ;     0.00 ; 15612.56 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   9514.8 ;       3215.86 ;    21.83 ;       6149.08 ;    41.74 ;  109.23 ;
   2 ;   55 ;   54 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  1620.02 ;     0.00 ; 15806.12 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11843.97 ;    -     ;    -     ;     0.00 ;   9514.8 ;       3215.86 ;    21.83 ;       6149.08 ;    41.74 ;  117.58 ;
   2 ;   55 ;   54 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  137.78 ;
   2 ;   55 ;   54 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  117.31 ;
   2 ;   55 ;   54 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  109.23 ;
   2 ;   55 ;   54 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  117.58 ;
   2 ;   56 ;   55 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  4380.90 ;   550.00 ; 31408.98 ;     0.00 ;    33.17 ;     0.00 ;     0.00 ;   12496.28 ;  3500.00 ;  6629.00 ;     0.00 ;  47309.5 ;      52743.55 ;    25.81 ;      68222.71 ;    33.39 ;  286.43 ;
   2 ;   56 ;   55 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  4311.00 ;   550.00 ; 28548.40 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   11357.20 ;  3500.00 ;  6150.97 ;     0.00 ;  47309.5 ;      52743.55 ;    25.81 ;      68222.71 ;    33.39 ;  280.95 ;
   2 ;   56 ;   55 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  4302.00 ;   550.00 ; 22345.52 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9227.08 ;  1900.00 ;  4520.20 ;     0.00 ;  47309.5 ;      52743.55 ;    25.81 ;      68222.71 ;    33.39 ;  269.71 ;
   2 ;   56 ;   55 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  4321.58 ;   550.00 ; 25946.91 ;     0.00 ;    97.60 ;     0.00 ;     0.00 ;   10498.06 ;  2667.82 ;  5407.18 ;     0.00 ;  47309.5 ;      52743.55 ;    25.81 ;      68222.71 ;    33.39 ;  276.30 ;
   2 ;   56 ;   55 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1263.30 ;     0.00 ; 10578.53 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2020.17 ;    -     ;    -     ;     0.00 ;  16653.9 ;       5777.39 ;    29.04 ;      14356.34 ;    72.15 ;  286.43 ;
   2 ;   56 ;   55 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1272.90 ;     0.00 ;  9363.81 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1248.29 ;    -     ;    -     ;     0.00 ;  16653.9 ;       5777.39 ;    29.04 ;      14356.34 ;    72.15 ;  280.95 ;
   2 ;   56 ;   55 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1299.60 ;     0.00 ;  6415.71 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1664.69 ;    -     ;    -     ;     0.00 ;  16653.9 ;       5777.39 ;    29.04 ;      14356.34 ;    72.15 ;  269.71 ;
   2 ;   56 ;   55 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1284.69 ;     0.00 ;  8095.74 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1633.44 ;    -     ;    -     ;     0.00 ;  16653.9 ;       5777.39 ;    29.04 ;      14356.34 ;    72.15 ;  276.30 ;
   2 ;   56 ;   55 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2046.00 ;     0.00 ;  3708.41 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2434.59 ;    -     ;    -     ;     0.00 ;   2755.6 ;      20818.72 ;    40.34 ;      20910.52 ;    40.52 ;  286.43 ;
   2 ;   56 ;   55 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  1809.80 ;     0.00 ;  2247.27 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3450.93 ;    -     ;    -     ;     0.00 ;   2755.6 ;      20818.72 ;    40.34 ;      20910.52 ;    40.52 ;  280.95 ;
   2 ;   56 ;   55 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  1809.80 ;     0.00 ;  1877.06 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2368.14 ;    -     ;    -     ;     0.00 ;   2755.6 ;      20818.72 ;    40.34 ;      20910.52 ;    40.52 ;  269.71 ;
   2 ;   56 ;   55 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  1861.38 ;     0.00 ;  2373.82 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2665.80 ;    -     ;    -     ;     0.00 ;   2755.6 ;      20818.72 ;    40.34 ;      20910.52 ;    40.52 ;  276.30 ;
   2 ;   56 ;   55 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 15081.50 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   7737.1 ;       3215.86 ;    21.83 ;       4924.20 ;    33.42 ;  280.95 ;
   2 ;   56 ;   55 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 14805.65 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11804.75 ;    -     ;    -     ;     0.00 ;   7737.1 ;       3215.86 ;    21.83 ;       4924.20 ;    33.42 ;  280.95 ;
   2 ;   56 ;   55 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ; 12300.37 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9727.67 ;    -     ;    -     ;     0.00 ;   7737.1 ;       3215.86 ;    21.83 ;       4924.20 ;    33.42 ;  269.71 ;
   2 ;   56 ;   55 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2786.39 ;     0.00 ; 13562.86 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10767.07 ;    -     ;    -     ;     0.00 ;   7737.1 ;       3215.86 ;    21.83 ;       4924.20 ;    33.42 ;  275.10 ;
   2 ;   56 ;   55 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  280.95 ;
   2 ;   56 ;   55 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  280.95 ;
   2 ;   56 ;   55 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  269.71 ;
   2 ;   56 ;   55 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  275.10 ;
   2 ;   57 ;   56 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  5100.70 ;   550.00 ; 31819.72 ;     0.00 ;    34.08 ;     0.00 ;     0.00 ;   11366.66 ;  3500.00 ;  6629.00 ;     0.00 ;  62640.2 ;      52743.55 ;    25.81 ;      78999.55 ;    38.66 ;  398.82 ;
   2 ;   57 ;   56 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  5102.70 ;   550.00 ; 29185.93 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9927.97 ;  3500.00 ;  6150.97 ;     0.00 ;  62640.2 ;      52743.55 ;    25.81 ;      78999.55 ;    38.66 ;  396.58 ;
   2 ;   57 ;   56 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  5093.70 ;   550.00 ; 23883.70 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    6897.20 ;  1900.00 ;  4520.20 ;     0.00 ;  62640.2 ;      52743.55 ;    25.81 ;      78999.55 ;    38.66 ;  376.62 ;
   2 ;   57 ;   56 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  5097.58 ;   550.00 ; 27003.35 ;     0.00 ;    97.80 ;     0.00 ;     0.00 ;    8665.82 ;  2667.82 ;  5407.18 ;     0.00 ;  62640.2 ;      52743.55 ;    25.81 ;      78999.55 ;    38.66 ;  386.69 ;
   2 ;   57 ;   56 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1264.30 ;     0.00 ;  9209.38 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3388.32 ;    -     ;    -     ;     0.00 ;   5523.2 ;       5777.39 ;    29.04 ;       5771.81 ;    29.01 ;  398.82 ;
   2 ;   57 ;   56 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  7351.33 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3259.77 ;    -     ;    -     ;     0.00 ;   5523.2 ;       5777.39 ;    29.04 ;       5771.81 ;    29.01 ;  396.58 ;
   2 ;   57 ;   56 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  3889.81 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4189.59 ;    -     ;    -     ;     0.00 ;   5523.2 ;       5777.39 ;    29.04 ;       5771.81 ;    29.01 ;  376.62 ;
   2 ;   57 ;   56 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1285.69 ;     0.00 ;  5956.72 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3771.46 ;    -     ;    -     ;     0.00 ;   5523.2 ;       5777.39 ;    29.04 ;       5771.81 ;    29.01 ;  386.69 ;
   2 ;   57 ;   56 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2240.10 ;     0.00 ;  3351.98 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2596.92 ;    -     ;    -     ;     0.00 ;   6892.4 ;      20818.72 ;    40.34 ;      24978.84 ;    48.40 ;  398.82 ;
   2 ;   57 ;   56 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2851.34 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2416.56 ;    -     ;    -     ;     0.00 ;   6892.4 ;      20818.72 ;    40.34 ;      24978.84 ;    48.40 ;  396.58 ;
   2 ;   57 ;   56 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2240.10 ;     0.00 ;  1880.82 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1934.08 ;    -     ;    -     ;     0.00 ;   6892.4 ;      20818.72 ;    40.34 ;      24978.84 ;    48.40 ;  376.62 ;
   2 ;   57 ;   56 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2455.89 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2205.01 ;    -     ;    -     ;     0.00 ;   6892.4 ;      20818.72 ;    40.34 ;      24978.84 ;    48.40 ;  386.69 ;
   2 ;   57 ;   56 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 14881.63 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11800.13 ;    -     ;    -     ;     0.00 ;   8268.0 ;       3215.86 ;    21.83 ;       4968.19 ;    33.72 ;  398.82 ;
   2 ;   57 ;   56 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 14382.57 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11381.67 ;    -     ;    -     ;     0.00 ;   8268.0 ;       3215.86 ;    21.83 ;       4968.19 ;    33.72 ;  396.58 ;
   2 ;   57 ;   56 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ; 10493.95 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -7921.25 ;    -     ;    -     ;     0.00 ;   8268.0 ;       3215.86 ;    21.83 ;       4968.19 ;    33.72 ;  376.62 ;
   2 ;   57 ;   56 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2786.39 ;     0.00 ; 12469.03 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9673.24 ;    -     ;    -     ;     0.00 ;   8268.0 ;       3215.86 ;    21.83 ;       4968.19 ;    33.72 ;  386.69 ;
   2 ;   57 ;   56 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  398.82 ;
   2 ;   57 ;   56 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  396.58 ;
   2 ;   57 ;   56 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  376.62 ;
   2 ;   57 ;   56 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  386.69 ;
   2 ;   58 ;   57 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  5100.70 ;   550.00 ; 29810.80 ;     0.00 ;    43.24 ;     0.00 ;     0.00 ;   13384.74 ;  3500.00 ;  6629.00 ;     0.00 ;  43756.3 ;      52743.55 ;    25.81 ;      62131.28 ;    30.41 ;  376.33 ;
   2 ;   58 ;   57 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  5102.70 ;   550.00 ; 27040.14 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   12073.76 ;  3500.00 ;  6150.97 ;     0.00 ;  43756.3 ;      52743.55 ;    25.81 ;      62131.28 ;    30.41 ;  368.14 ;
   2 ;   58 ;   57 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  4804.90 ;   550.00 ; 21339.99 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9729.71 ;  1900.00 ;  4520.20 ;     0.00 ;  43756.3 ;      52743.55 ;    25.81 ;      62131.28 ;    30.41 ;  346.90 ;
   2 ;   58 ;   57 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  4947.37 ;   550.00 ; 24680.49 ;     0.00 ;    99.80 ;     0.00 ;     0.00 ;   11140.89 ;  2667.82 ;  5407.18 ;     0.00 ;  43756.3 ;      52743.55 ;    25.81 ;      62131.28 ;    30.41 ;  358.88 ;
   2 ;   58 ;   57 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1264.30 ;     0.00 ;  9568.83 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3028.87 ;    -     ;    -     ;     0.00 ;  14354.9 ;       5777.39 ;    29.04 ;      14524.17 ;    73.00 ;  376.33 ;
   2 ;   58 ;   57 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  7251.63 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3359.47 ;    -     ;    -     ;     0.00 ;  14354.9 ;       5777.39 ;    29.04 ;      14524.17 ;    73.00 ;  368.14 ;
   2 ;   58 ;   57 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  3534.82 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4544.58 ;    -     ;    -     ;     0.00 ;  14354.9 ;       5777.39 ;    29.04 ;      14524.17 ;    73.00 ;  346.90 ;
   2 ;   58 ;   57 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1285.69 ;     0.00 ;  5824.51 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3903.67 ;    -     ;    -     ;     0.00 ;  14354.9 ;       5777.39 ;    29.04 ;      14524.17 ;    73.00 ;  358.88 ;
   2 ;   58 ;   57 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2240.10 ;     0.00 ;  3733.51 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2215.39 ;    -     ;    -     ;     0.00 ;   2173.0 ;      20818.72 ;    40.34 ;      20321.80 ;    39.38 ;  376.33 ;
   2 ;   58 ;   57 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2066.00 ;     0.00 ;  2246.24 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3195.76 ;    -     ;    -     ;     0.00 ;   2173.0 ;      20818.72 ;    40.34 ;      20321.80 ;    39.38 ;  368.14 ;
   2 ;   58 ;   57 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2066.00 ;     0.00 ;  1876.02 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2112.98 ;    -     ;    -     ;     0.00 ;   2173.0 ;      20818.72 ;    40.34 ;      20321.80 ;    39.38 ;  346.90 ;
   2 ;   58 ;   57 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2104.02 ;     0.00 ;  2378.49 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2418.49 ;    -     ;    -     ;     0.00 ;   2173.0 ;      20818.72 ;    40.34 ;      20321.80 ;    39.38 ;  358.88 ;
   2 ;   58 ;   57 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 15081.50 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  10555.8 ;       3215.86 ;    21.83 ;       7630.46 ;    51.79 ;  361.35 ;
   2 ;   58 ;   57 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 15000.90 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  10555.8 ;       3215.86 ;    21.83 ;       7630.46 ;    51.79 ;  361.35 ;
