-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;    1 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;   680.50 ;     0.00 ;  1067.92 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    7631.58 ;    -     ;    -     ;     0.00 ;   3338.6 ;       5777.39 ;    29.04 ;       7183.46 ;    36.10 ;   55.16 ;
   2 ;    2 ;    1 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;   707.87 ;     0.00 ;  2099.22 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    8206.79 ;    -     ;    -     ;     0.00 ;   3338.6 ;       5777.39 ;    29.04 ;       7183.46 ;    36.10 ;  101.57 ;
   2 ;    2 ;    1 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  1465.20 ;     0.00 ;  4082.93 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2640.87 ;    -     ;    -     ;     0.00 ;  10800.8 ;      20818.72 ;    40.34 ;      28879.74 ;    55.96 ;  158.03 ;
   2 ;    2 ;    1 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  1465.20 ;     0.00 ;  2420.13 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3622.67 ;    -     ;    -     ;     0.00 ;  10800.8 ;      20818.72 ;    40.34 ;      28879.74 ;    55.96 ;  146.71 ;
   2 ;    2 ;    1 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;   371.20 ;     0.00 ;  1851.28 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3832.52 ;    -     ;    -     ;     0.00 ;  10800.8 ;      20818.72 ;    40.34 ;      28879.74 ;    55.96 ;   55.16 ;
   2 ;    2 ;    1 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;   896.19 ;     0.00 ;  2487.40 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3517.40 ;    -     ;    -     ;     0.00 ;  10800.8 ;      20818.72 ;    40.34 ;      28879.74 ;    55.96 ;  101.57 ;
   2 ;    2 ;    1 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  1648.40 ;     0.00 ; 16242.60 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12538.5 ;       3215.86 ;    21.83 ;       8796.75 ;    59.71 ;  109.23 ;
   2 ;    2 ;    1 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  1627.40 ;     0.00 ; 16172.60 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12538.5 ;       3215.86 ;    21.83 ;       8796.75 ;    59.71 ;  109.23 ;
   2 ;    2 ;    1 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;   650.50 ;     0.00 ; 15534.64 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10842.14 ;    -     ;    -     ;     0.00 ;  12538.5 ;       3215.86 ;    21.83 ;       8796.75 ;    59.71 ;   55.16 ;
   2 ;    2 ;    1 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  1123.88 ;     0.00 ; 15856.08 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11397.78 ;    -     ;    -     ;     0.00 ;  12538.5 ;       3215.86 ;    21.83 ;       8796.75 ;    59.71 ;   81.11 ;
